OBJECTID,JURISDICTION,OWNERSHIP,MUNICIPALITY,NAME,FROM_,TO_,CLASS,CLASS_OP,DES_SURF_WIDTH,Shape_Length
9741,LOCAL,OSHAWA,OSHAWA,GLADSTONE AVE,PUNSHON AVE,COLBORNE ST W,L/R,L,,146.131447396835
9742,LOCAL,OSHAWA,OSHAWA,GLADSTONE AVE,BOND ST W,PUNSHON AVE,L/R,L,,138.309702890456
9743,LOCAL,OSHAWA,OSHAWA,LEMANS AVE,SAFARI DR,FLEETWOOD DR,L/R,L,,95.2595658875438
9744,LOCAL,OSHAWA,OSHAWA,SEDAN CRES,DEAN AVE/LOMOND ST,BREST CT,L/R,L,,147.809721412101
9745,LOCAL,OSHAWA,OSHAWA,SEDAN CRES,BREST CT,END OF COURT,L/R,L,,219.525754846924
9746,LOCAL,OSHAWA,OSHAWA,JONES AVE,SOMERVILLE ST,OSLER ST,L/R,L,,48.0577075146471
9747,LOCAL,OSHAWA,OSHAWA,OSLER ST,SOUTH LIMIT,JONES AVE,L/R,L,,132.899645372765
9748,LOCAL,OSHAWA,OSHAWA,HORTOP ST,ROSSLAND RD W,JONES AVE,L/R,L,,152.786686271115
9749,LOCAL,OSHAWA,OSHAWA,MARGATE DR,ALDERSHOT DR,TOWNLINE RD N,C/R,COL,,111.277858048667
9750,LOCAL,OSHAWA,OSHAWA,WILLIAM ST E,SIMCOE ST N,ONTARIO ST,L/R,L,,92.8452112844468
9751,LOCAL,OSHAWA,OSHAWA,DURHAM ST,TALBOT CT,TALON CT,L/R,L,,96.9185590751112
9752,LOCAL,OSHAWA,OSHAWA,DURHAM ST,CARTIER AVE,TALBOT CT,L/R,L,,92.7703748989396
9753,REGIONAL,DURHAM,OSHAWA,PARK RD N,MARION AVE,NIPIGON ST,ART,C,,299.150809352764
9754,LOCAL,OSHAWA,OSHAWA,SWISS HEIGHT,BRIARWOOD DR,OBERLAND DR,L/R,L,,102.173777236561
9755,LOCAL,OSHAWA,OSHAWA,GLENVIEW AVE,GLENCAIRN ST,GLENMANOR DR,L/R,L,,112.457828977544
9756,LOCAL,OSHAWA,OSHAWA,OLD SIMCOE ST,HILL ST,HURD ST,L/R,L,,156.289742291594
9757,LOCAL,OSHAWA,OSHAWA,HILL ST,OLD SIMCOE ST,HURD ST,L/R,L,,137.83089482225
9758,LOCAL,OSHAWA,OSHAWA,HURD ST,HILL ST,OLD SIMCOE ST,L/R,L,,89.304491974905
9759,LOCAL,OSHAWA,OSHAWA,SWITZER DR,MOHAWK ST,SOMERVILLE ST,L/R,L,,223.702721926895
9760,LOCAL,OSHAWA,OSHAWA,GOODMAN DR,DAWNHILL AVE,AMBER AVE,L/R,L,,89.3435263621798
9761,LOCAL,OSHAWA,OSHAWA,MEADOW ST,MANOR DR,STORNOWAY ST,L/R,L,,145.196065062924
9762,LOCAL,OSHAWA,OSHAWA,OAKWOOD AVE,PINEWOOD ST,WILSON RD N,L/R,L,,83.9846826457185
9763,LOCAL,OSHAWA,OSHAWA,HUMEWOOD AVE,215 m W OF CENTRAL PARK,WYCHWOOD ST,L/R,L,,134.437731180532
9764,LOCAL,OSHAWA,OSHAWA,HUMEWOOD AVE,WYCHWOOD ST,CENTRAL PARK BLVD N,L/R,L,,83.387459273787
9765,LOCAL,OSHAWA,OSHAWA,SUMMITVIEW CRES,GRANDVIEW ST N,GRANDVIEW ST N,L/R,L,,320.32114254538
9766,LOCAL,OSHAWA,OSHAWA,GRANDVIEW ST N,SUMMITVIEW CRES,SUMMITVIEW CRES,ART,C,,86.5575503853523
9767,LOCAL,OSHAWA,OSHAWA,SUNSET DR,CHEVROLET ST,SOMERVILLE ST,L/R,L,,97.8258416218786
9768,LOCAL,OSHAWA,OSHAWA,HORTOP ST,CHURCHILL AVE/HORTOP ST,SUNSET DR,L/R,L,,91.1162204909582
9769,LOCAL,OSHAWA,OSHAWA,SOMERVILLE ST,SWITZER DR,CHURCHILL AVE,C/R,COL,,161.431942373294
9770,LOCAL,OSHAWA,OSHAWA,OSHAWA BLVD N,JASMINE CRES,DARCY ST,L/R,L,,67.3626818255976
9771,LOCAL,OSHAWA,OSHAWA,GLENCAIRN ST,NORTHCLIFFE AVE,JANE AVE,L/R,L,,91.9783602882568
9772,LOCAL,OSHAWA,OSHAWA,JANE AVE,WESTDALE ST,GLENCAIRN ST,L/R,L,,129.772940316075
9773,LOCAL,OSHAWA,OSHAWA,SUNVIEW LANE,EDENWOOD CT/EDENWOOD DR,EDENWOOD DR,L/R,L,,124.822254892918
9774,LOCAL,OSHAWA,OSHAWA,STONE ST,PARK RD S,LAKEFIELD ST,L/R,L,,115.425944923619
9775,PROVINCIAL,MTO,OSHAWA,RAMP,,,EXP,EXP,,895.509399902335
9776,LOCAL,OSHAWA,OSHAWA,STONE ST,LAKEFIELD ST,LAKESIDE ST,L/R,L,,97.1752696842414
9777,PROVINCIAL,MTO,OSHAWA,HIGHWAY 401 W,,,EXP,EXP,,36.568215881061
9778,PROVINCIAL,MTO,OSHAWA,HIGHWAY 401 W,,,EXP,EXP,,94.9062960339604
9779,LOCAL,OSHAWA,OSHAWA,STONE ST,LAKESIDE ST,LAKEMOUNT ST,L/R,L,,98.8558095231683
9780,PROVINCIAL,MTO,OSHAWA,HIGHWAY 401 E,,,EXP,EXP,,310.715007568657
9781,LOCAL,OSHAWA,OSHAWA,BOND ST W,BOND ST W,KING ST W,ART,B,,43.981063084068
9782,LOCAL,OSHAWA,OSHAWA,GLENWOOD CT,SOUTH LIMIT,WINONA AVE,L/R,L,,64.5789333443658
9783,LOCAL,OSHAWA,OSHAWA,JARVIS ST,ADELAIDE AVE E,ROSEDALE AVE,L/R,L,,252.593575436769
9784,LOCAL,OSHAWA,OSHAWA,RIDEAU ST,SAGUENAY AVE,ANDERSON AVE,L/R,L,,198.824649984196
9785,LOCAL,OSHAWA,OSHAWA,ROXBOROUGH AVE,COLBORNE ST E,BEVERLY ST,L/R,L,,109.400129042813
9786,LOCAL,OSHAWA,OSHAWA,CENTRAL PARK BLVD N,BEVERLY ST,ELGIN ST E,C/R,COL,,85.1645088700155
9787,LOCAL,OSHAWA,OSHAWA,NIPIGON ST,ELGIN CT,ADELAIDE AVE W,L/R,L,,97.6637345344487
9788,LOCAL,OSHAWA,OSHAWA,PHILLIP MURRAY AVE,PAUL ST,EVANGELINE DR,ART,C,,104.20531094943
9789,LOCAL,OSHAWA,OSHAWA,PHILLIP MURRAY AVE,EVANGELINE DR,CEDAR ST,ART,C,,119.012625181615
9790,REGIONAL,DURHAM,OSHAWA,WILSON RD N,COLBORNE ST E,LANSDOWNE DR,ART,C,,226.566839828895
9791,REGIONAL,DURHAM,OSHAWA,RITSON RD N,WOODMOUNT DR,CONLIN RD E,ART,B,,622.596583673694
9792,REGIONAL,DURHAM,OSHAWA,OLIVE AVE,FLORELL DR,DIANNE DR,ART,C,,216.681011109461
9793,REGIONAL,DURHAM,OSHAWA,OLIVE AVE,HARCOURT DR,FLORELL DR,ART,C,,106.537288939499
9794,REGIONAL,DURHAM,OSHAWA,OLIVE AVE,SIMCOE ST S,CELINA ST,ART,C,,88.7570271926531
9795,REGIONAL,DURHAM,OSHAWA,PARK RD N,ADMIRAL RD,MARION AVE,ART,C,,110.948454537339
9796,REGIONAL,DURHAM,OSHAWA,SIMCOE ST S,CONANT ST,ALBERT ST,ART,C,,71.9447939155729
9797,REGIONAL,DURHAM,OSHAWA,SIMCOE ST S,ALBERT ST,ERIE ST,ART,C,,110.907739850715
9798,REGIONAL,DURHAM,OSHAWA,STEVENSON RD N,BOND ST W,CREIGHTON AVE,ART,B,,183.702610823386
